Date;Market;Instrument;Open;Last;Low;High;Slmnt;Trades;Quantity;Trade qty;O/I;
01.01.2020;BASE;BASE_02-01-20;175;175;175;175;0;2;12;50400;12;
01.01.2020;BASE;BASE_03-01-20;0;0;0;0;0;0;0;0;0;
01.01.2020;GAS_BASE;GAS_BASE_02-01-20;60,25;62,9;59;63,25;0;64;1552;2302321,2;1211;
01.01.2020;GAS_RDB;GAS_RDB_01-01-20;54,1;61;52;61;0;38;4636;257553,9;3492;
01.01.2020;GLW_BASE;GLW_BASE_02-01-20;0;0;0;0;0;0;0;0;0;
01.01.2020;GLW_RDB;GLW_RDB_01-01-20;0;0;0;0;0;0;0;0;0;
01.01.2020;OFFPEAK;OFFPEAK_02-01-20;0;0;0;0;0;0;0;0;0;
01.01.2020;OFFPEAK;OFFPEAK_03-01-20;0;0;0;0;0;0;0;0;0;
01.01.2020;PEAK;PEAK_02-01-20;205;205;200;205;0;21;158;485100;132;
01.01.2020;PEAK;PEAK_03-01-20;0;0;0;0;0;0;0;0;0;
01.01.2020;RDN-1;RDN_02-01-20_H01;134,33;134,33;134,33;134,33;0;130;4266;573051,78;3866,8;
01.01.2020;RDN-1;RDN_02-01-20_H02;123,97;123,97;123,97;123,97;0;132;4532,8;561931,216;4142,4;
01.01.2020;RDN-1;RDN_02-01-20_H03;109,57;109,57;109,57;109,57;0;140;4712;516293,84;4350,3;
01.01.2020;RDN-1;RDN_02-01-20_H04;106,43;106,43;106,43;106,43;0;140;4674,9;497549,607;4390,1;
01.01.2020;RDN-1;RDN_02-01-20_H05;115,7;115,7;115,7;115,7;0;138;4433,6;512967,52;4156;
01.01.2020;RDN-1;RDN_02-01-20_H06;133,54;133,54;133,54;133,54;0;126;3683,8;491934,652;3413,3;
01.01.2020;RDN-1;RDN_02-01-20_H07;153,69;153,69;153,69;153,69;0;109;1932,2;296959,818;1687;
01.01.2020;RDN-1;RDN_02-01-20_H08;167,78;167,78;167,78;167,78;0;128;3316,2;556392,036;3067,4;
01.01.2020;RDN-1;RDN_02-01-20_H09;180,53;180,53;180,53;180,53;0;122;2822,9;509618,137;2561,5;
01.01.2020;RDN-1;RDN_02-01-20_H10;187,26;187,26;187,26;187,26;0;113;2238;419087,88;1875,2;
01.01.2020;RDN-1;RDN_02-01-20_H11;183,03;183,03;183,03;183,03;0;117;2405,3;440242,059;1985,8;
01.01.2020;RDN-1;RDN_02-01-20_H12;184,67;184,67;184,67;184,67;0;116;2275,5;420216,585;1876,2;
01.01.2020;RDN-1;RDN_02-01-20_H13;187,26;187,26;187,26;187,26;0;116;2270,8;425230,008;1905;
01.01.2020;RDN-1;RDN_02-01-20_H14;198,55;198,55;198,55;198,55;0;119;2187,1;434248,705;1939,1;
01.01.2020;RDN-1;RDN_02-01-20_H15;190,85;190,85;190,85;190,85;0;118;2214,6;422656,41;1918,4;
01.01.2020;RDN-1;RDN_02-01-20_H16;192,68;192,68;192,68;192,68;0;115;2116,6;407826,488;1825,5;
01.01.2020;RDN-1;RDN_02-01-20_H17;200,8;205;200,8;235;0;123;1577,9;317862,92;1159,9;
01.01.2020;RDN-1;RDN_02-01-20_H18;200,8;205;200,8;205;0;119;1493;299857,4;1120,1;
