Date;Market;Instrument;Open;Last;Low;High;Slmnt;Trades;Quantity;Trade qty;O/I;
01.01.2024;BASE;BASE_02-01-24;420;470;420;470;0;14;131;1393800;81;
01.01.2024;BASE;BASE_03-01-24;0;0;0;0;0;0;0;0;0;
01.01.2024;GAS_BASE;GAS_BASE_02-01-24;152;149,5;149,1;152;0;60;1226;4417490,4;1134;
01.01.2024;GAS_RDB;GAS_RDB_01-01-24;144;130;130;145,5;0;36;4068;573725,3;2248;
01.01.2024;GLW_BASE;GLW_BASE_02-01-24;0;0;0;0;0;0;0;0;0;
01.01.2024;GLW_RDB;GLW_RDB_01-01-24;0;0;0;0;0;0;0;0;0;
01.01.2024;OFFPEAK;OFFPEAK_02-01-24;0;0;0;0;0;0;0;0;0;
01.01.2024;OFFPEAK;OFFPEAK_03-01-24;0;0;0;0;0;0;0;0;0;
01.01.2024;PEAK;PEAK_02-01-24;0;0;0;0;0;0;0;0;0;
01.01.2024;PEAK;PEAK_03-01-24;0;0;0;0;0;0;0;0;0;
01.01.2024;RDN-1;RDN_02-01-24_H01;346,61;346,61;346,61;346,61;0;87;1633;566014,13;1425,2;
01.01.2024;RDN-1;RDN_02-01-24_H02;330;330;330;330;0;88;1664,5;549285;1472,7;
01.01.2024;RDN-1;RDN_02-01-24_H03;322,08;322,08;322,08;322,08;0;89;1743,1;561417,648;1573,2;
01.01.2024;RDN-1;RDN_02-01-24_H04;336,11;336,11;336,11;336,11;0;87;1718;577436,98;1555,5;
01.01.2024;RDN-1;RDN_02-01-24_H05;359,19;359,19;359,19;359,19;0;90;1833,7;658646,703;1677,7;
01.01.2024;RDN-1;RDN_02-01-24_H06;390,17;390,17;390,17;390,17;0;94;1841,2;718381,004;1641,5;
01.01.2024;RDN-1;RDN_02-01-24_H07;434,14;435;434,14;435;0;106;3476;1509071,5;2887,5;
01.01.2024;RDN-1;RDN_02-01-24_H08;446,64;447;446,64;447;0;109;3235,7;1445193,408;2506,5;
01.01.2024;RDN-1;RDN_02-01-24_H09;454,64;455;454,64;455;0;106;3522,5;1601469,76;2837,8;
01.01.2024;RDN-1;RDN_02-01-24_H10;451,14;452;451,14;452;0;107;3533,6;1594149,164;2676,5;
01.01.2024;RDN-1;RDN_02-01-24_H11;450;451;450;451;0;107;3363,8;1513711;2526,9;
01.01.2024;RDN-1;RDN_02-01-24_H12;451,14;452;451,14;452;0;105;3484,6;1572043,304;2809,4;
01.01.2024;RDN-1;RDN_02-01-24_H13;451,14;452;451,14;452;0;115;3587,9;1618646,066;2896,6;
01.01.2024;RDN-1;RDN_02-01-24_H14;449,88;450;449,88;450;0;110;3835,4;1725469,872;3141,6;
01.01.2024;RDN-1;RDN_02-01-24_H15;449,88;450;449,88;450;0;114;3746,1;1685295,588;3026,7;
01.01.2024;RDN-1;RDN_02-01-24_H16;434,14;435;434,14;435;0;117;3852,2;1672394,968;2564;
01.01.2024;RDN-1;RDN_02-01-24_H17;446,64;447;446,64;447;0;113;4135,1;1846901,424;2796,3;
01.01.2024;RDN-1;RDN_02-01-24_H18;434,14;435;434,14;435;0;109;3947,4;1713725,096;2799,9;
01.01.2024;RDN-1;RDN_02-01-24_H19;430;431;430;431;0;108;3400,6;1462259;2544,9;
01.01.2024;RDN-1;RDN_02-01-24_H20;430;431;430;431;0;103;3148,4;1353813;2435;
01.01.2024;RDN-1;RDN_02-01-24_H21;409,14;410;409,14;410;0;108;2797,2;1144447,268;2312,8;
01.01.2024;RDN-1;RDN_02-01-24_H22;374,38;374,38;374,38;374,38;0;109;2420,8;906299,104;2267,8;
01.01.2024;RDN-1;RDN_02-01-24_H23;377,84;377,84;377,84;377,84;0;104;2924,2;1104879,728;2401,9;
01.01.2024;RDN-1;RDN_02-01-24_H24;310;310;310;310;0;95;2596,2;804822;2158,1;
01.01.2024;SGT_BASE;SGT_BASE_02-01-24;0;0;0;0;0;0;0;0;0;
01.01.2024;SGT_RDB;SGT_RDB_01-01-24;0;0;0;0;0;0;0;0;0;
02.01.2024;BASE;BASE_03-01-24;370;370,5;365;380;0;64;740;6560220;701;
02.01.2024;BASE;BASE_04-01-24;0;0;0;0;0;0;0;0;0;
02.01.2024;BASE_M;BASE_M-02-24;495,01;495;495;495,01;499,31;2;2;689046,96;132;
02.01.2024;BASE_M;BASE_M-03-24;445;445;445;445;453,1;3;3;991905;113;
02.01.2024;BASE_M;BASE_M-04-24;510;510;510;510;525;1;1;367200;14;
02.01.2024;BASE_M;BASE_M-05-24;0;0;0;0;458,5;0;0;0;0;
02.01.2024;BASE_M;BASE_M-06-24;0;0;0;0;518;0;0;0;0;
02.01.2024;BASE_M;BASE_M-07-24;0;0;0;0;0;0;0;0;0;
02.01.2024;BASE_Q;BASE_Q-1-25;0;0;0;0;525;0;0;0;0;
02.01.2024;BASE_Q;BASE_Q-2-24;472;472,5;472;472,5;480;8;8;8247876;328;
02.01.2024;BASE_Q;BASE_Q-2-25;0;0;0;0;0;0;0;0;0;
02.01.2024;BASE_Q;BASE_Q-3-24;0;0;0;0;504,33;0;0;0;316;
02.01.2024;BASE_Q;BASE_Q-3-25;0;0;0;0;0;0;0;0;0;
02.01.2024;BASE_Q;BASE_Q-4-24;0;0;0;0;491;0;0;0;439;
02.01.2024;BASE_W;BASE_W-02-24;510;512;509,9;512;507;18;36;3089914,8;78;
02.01.2024;BASE_W;BASE_W-03-24;0;0;0;0;500;0;0;0;5;
02.01.2024;BASE_W;BASE_W-04-24;0;0;0;0;500;0;0;0;1;
02.01.2024;BASE_W;BASE_W-05-24;0;0;0;0;0;0;0;0;0;
02.01.2024;BASE_W;BASE_W-06-24;0;0;0;0;0;0;0;0;0;
02.01.2024;BASE_Y;BASE_Y-25;530;530;530;530;530;3;3;13928400;558;
02.01.2024;BASE_Y;BASE_Y-26;0;0;0;0;545;0;0;0;99;
02.01.2024;BASE_Y;BASE_Y-27;0;0;0;0;544,5;0;0;0;10;
02.01.2024;BASE_Y;BASE_Y-28;0;0;0;0;0;0;0;0;0;
02.01.2024;F-OZE;F-OZE_05-24;0;0;0;0;169,5;0;0;0;1;
02.01.2024;F-OZE;F-OZE_05-25;0;0;0;0;69,05;0;0;0;0;
02.01.2024;F-OZE;F-OZE_11-24;0;0;0;0;69,05;0;0;0;0;
02.01.2024;F-OZE;F-OZE_11-25;0;0;0;0;69,05;0;0;0;0;
02.01.2024;GAS_BASE;GAS_BASE_03-01-24;156;159;156;162;0;56;1511;5804700;1442;
02.01.2024;GAS_BASE_M;GAS_BASE_M-02-24;162;162,75;161,4;162,75;164,13;11;35;3942074,4;14620;
02.01.2024;GAS_BASE_M;GAS_BASE_M-03-24;163;163;161;163;165,75;10;26;3138060,5;12081;
02.01.2024;GAS_BASE_M;GAS_BASE_M-04-24;159;158,5;158;159;0;11;41;4680540;40;
02.01.2024;GAS_BASE_Q;GAS_BASE_Q-1-25;0;0;0;0;0;0;0;0;0;
02.01.2024;GAS_BASE_Q;GAS_BASE_Q-2-24;157,75;157,5;157,5;157,75;162;4;7;2408952;4549;
02.01.2024;GAS_BASE_Q;GAS_BASE_Q-3-24;0;0;0;0;163;0;0;0;3772;
02.01.2024;GAS_BASE_Q;GAS_BASE_Q-4-24;185,5;185,5;185,5;185,5;188,29;3;8;3278156;4460;
02.01.2024;GAS_BASE_S;GAS_BASE_S-S-24;0;0;0;0;193,5;0;0;0;15;
02.01.2024;GAS_BASE_S;GAS_BASE_S-S-25;0;0;0;0;0;0;0;0;0;
02.01.2024;GAS_BASE_S;GAS_BASE_S-W-24;191;189;189;191;192,66;3;5;4145232;1068;
02.01.2024;GAS_BASE_W;GAS_BASE_W-02-24;157;163;156;163;163,88;34;565;15223353,6;790;
02.01.2024;GAS_BASE_W;GAS_BASE_W-03-24;156;163;156;163;165,43;15;400;10781400;566;
02.01.2024;GAS_BASE_W;GAS_BASE_W-04-24;0;0;0;0;165,56;0;0;0;70;
02.01.2024;GAS_BASE_W;GAS_BASE_W-05-24;0;0;0;0;0;0;0;0;0;
02.01.2024;GAS_BASE_Y;GAS_BASE_Y-25;180,9;180,9;180,9;180,9;183;4;4;6338736;1103;
02.01.2024;GAS_BASE_Y;GAS_BASE_Y-26;0;0;0;0;0;0;0;0;0;
02.01.2024;GAS_RDB;GAS_RDB_02-01-24;152;157;152;157;0;51;6600;1031353,5;5946;
02.01.2024;GLW_BASE;GLW_BASE_03-01-24;0;0;0;0;0;0;0;0;0;
02.01.2024;GLW_RDB;GLW_RDB_02-01-24;0;0;0;0;0;0;0;0;0;
02.01.2024;H-PEAK5_M;H-PEAK5_M-02-24;0;0;0;0;0;0;0;0;0;
02.01.2024;H-PEAK5_M;H-PEAK5_M-03-24;0;0;0;0;0;0;0;0;0;
02.01.2024;H-PEAK5_Q;H-PEAK5_Q-2-24;0;0;0;0;0;0;0;0;0;
02.01.2024;H-PEAK5_Q;H-PEAK5_Q-3-24;0;0;0;0;0;0;0;0;0;
02.01.2024;H-PEAK5_W;H-PEAK5_W-02-24;0;0;0;0;0;0;0;0;0;
02.01.2024;H-PEAK5_W;H-PEAK5_W-03-24;0;0;0;0;0;0;0;0;0;
